transformId;rotation;scale;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
Sheep;(0.0, -0.4, 0.0, 0.9);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);08490162-f566-4ac6-bb8f-1d0958943c99;1;4;4;08.31.2021 19:03:38.764
Sheep;(0.0, -0.2, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);57d61bac-1208-4fa1-ac52-b8d07985a5f0;1;4;4;08.31.2021 19:03:38.797
Sheep;(0.0, -0.1, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);e4fb050f-3d45-4fd2-ab92-c99fab1cde39;1;4;4;08.31.2021 19:03:38.830
Sheep;(0.0, 0.0, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);cab2023e-6302-4358-a0fa-c1604f8d1465;1;4;4;08.31.2021 19:03:38.863
Sheep;(0.0, 0.0, 0.0, -1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);4ef1611a-283d-475b-b8aa-e844e55072d8;1;4;4;08.31.2021 19:03:38.897
Sheep;(0.0, 0.0, 0.0, -1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);63599377-1fac-4b4e-b6ea-f2cade5b1a50;1;4;4;08.31.2021 19:03:38.930
Sheep;(0.0, -0.1, 0.0, -1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);a3ebdeeb-ee34-452b-8a8e-6ad1eb578700;1;4;4;08.31.2021 19:03:38.964
Sheep;(0.0, -0.3, 0.0, -1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);4fb97856-98ce-4f87-9e6e-1334bce82524;1;4;4;08.31.2021 19:03:39.000
Sheep;(0.0, -0.5, 0.0, -0.9);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);55b24d96-7514-4a5d-a894-d0bacd99e620;1;4;4;08.31.2021 19:03:39.042
Sheep;(0.0, -0.7, 0.0, -0.8);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);e3fb6391-fb63-4f0d-97ab-2142163ff4aa;1;4;4;08.31.2021 19:03:39.075
